#AGE=10.000 EEPS=269
#EEP   M/Mo    LogTeff  LogG   LogL/Lo open    gp1     rp1     ip1     zp1     yp1     wp1     
 140  0.876819  3.7937  4.1151  0.3939  3.7571  3.9815  3.7301  3.6568  3.6590  3.6718  3.7766
 141  0.877699  3.7934  4.1078  0.4005  3.7402  3.9654  3.7134  3.6397  3.6416  3.6542  3.7599
 142  0.878571  3.7930  4.1001  0.4072  3.7231  3.9494  3.6965  3.6223  3.6239  3.6363  3.7430
 143  0.879436  3.7927  4.0923  0.4139  3.7060  3.9334  3.6795  3.6048  3.6060  3.6182  3.7261
 144  0.880293  3.7922  4.0842  0.4206  3.6888  3.9174  3.6625  3.5872  3.5880  3.6000  3.7091
 145  0.881141  3.7917  4.0760  0.4274  3.6714  3.9015  3.6454  3.5694  3.5698  3.5815  3.6921
 146  0.881983  3.7912  4.0675  0.4341  3.6540  3.8856  3.6282  3.5514  3.5514  3.5628  3.6750
 147  0.882815  3.7906  4.0588  0.4410  3.6365  3.8697  3.6110  3.5333  3.5328  3.5439  3.6578
 148  0.883640  3.7900  4.0498  0.4478  3.6189  3.8540  3.5937  3.5151  3.5140  3.5247  3.6406
 149  0.884457  3.7893  4.0404  0.4546  3.6012  3.8385  3.5763  3.4966  3.4949  3.5053  3.6233
 150  0.885266  3.7884  4.0306  0.4615  3.5833  3.8231  3.5589  3.4780  3.4756  3.4854  3.6060
 151  0.886067  3.7874  4.0202  0.4683  3.5654  3.8082  3.5414  3.4590  3.4558  3.4651  3.5886
 152  0.886860  3.7863  4.0091  0.4752  3.5474  3.7938  3.5240  3.4398  3.4355  3.4442  3.5713
 153  0.887642  3.7848  3.9967  0.4820  3.5293  3.7803  3.5066  3.4202  3.4146  3.4225  3.5541
 154  0.888419  3.7832  3.9840  0.4887  3.5112  3.7671  3.4893  3.4005  3.3936  3.4006  3.5370
 155  0.889187  3.7813  3.9699  0.4954  3.4931  3.7552  3.4722  3.3805  3.3719  3.3778  3.5202
 156  0.889957  3.7793  3.9558  0.5020  3.4751  3.7434  3.4551  3.3604  3.3501  3.3549  3.5033
 157  0.890722  3.7769  3.9401  0.5085  3.4569  3.7331  3.4381  3.3397  3.3274  3.3307  3.4866
 158  0.891495  3.7744  3.9241  0.5150  3.4385  3.7231  3.4208  3.3187  3.3043  3.3060  3.4698
 159  0.892295  3.7719  3.9082  0.5214  3.4202  3.7132  3.4036  3.2977  3.2813  3.2814  3.4530
 160  0.893126  3.7693  3.8919  0.5277  3.4021  3.7042  3.3866  3.2768  3.2582  3.2567  3.4366
 161  0.893979  3.7661  3.8736  0.5336  3.3847  3.6981  3.3706  3.2560  3.2347  3.2310  3.4212
 162  0.894629  3.7631  3.8580  0.5373  3.3728  3.6971  3.3602  3.2409  3.2170  3.2114  3.4114
 163  0.895278  3.7596  3.8410  0.5408  3.3621  3.6985  3.3513  3.2266  3.1997  3.1919  3.4029
 164  0.895925  3.7558  3.8227  0.5440  3.3523  3.7025  3.3436  3.2128  3.1825  3.1722  3.3957
 165  0.896569  3.7515  3.8026  0.5473  3.3425  3.7082  3.3362  3.1987  3.1644  3.1514  3.3889
 166  0.897204  3.7470  3.7806  0.5515  3.3308  3.7130  3.3271  3.1825  3.1440  3.1280  3.3804
 167  0.897818  3.7425  3.7570  0.5576  3.3150  3.7138  3.3140  3.1622  3.1195  3.1005  3.3676
 168  0.898392  3.7385  3.7327  0.5660  3.2938  3.7080  3.2954  3.1370  3.0905  3.0687  3.3495
 169  0.898913  3.7350  3.7087  0.5764  3.2678  3.6950  3.2716  3.1077  3.0579  3.0337  3.3259
 170  0.899382  3.7322  3.6858  0.5884  3.2384  3.6761  3.2439  3.0756  3.0230  2.9969  3.2985
 171  0.899808  3.7300  3.6641  0.6013  3.2067  3.6530  3.2138  3.0418  2.9870  2.9594  3.2685
 172  0.900200  3.7281  3.6434  0.6148  3.1736  3.6269  3.1819  3.0070  2.9504  2.9214  3.2368
 173  0.900567  3.7266  3.6236  0.6287  3.1395  3.5986  3.1489  2.9715  2.9134  2.8833  3.2038
 174  0.900915  3.7253  3.6045  0.6428  3.1048  3.5688  3.1152  2.9357  2.8762  2.8452  3.1701
 175  0.901247  3.7242  3.5859  0.6571  3.0696  3.5377  3.0807  2.8994  2.8389  2.8071  3.1357
 176  0.901567  3.7232  3.5677  0.6715  3.0342  3.5060  3.0461  2.8632  2.8016  2.7691  3.1011
 177  0.901878  3.7224  3.5500  0.6860  2.9985  3.4735  3.0110  2.8268  2.7643  2.7312  3.0660
